e_issn,journal_title,license,publisher
2948-2119,npj Spintronics,,Springer
2239-7264,Journal of Plant Pathology,,Springer
0167-8140,Radiotherapy & Oncology,,Elsevier
1467-9841,Journal of Sociolinguistics,,Wiley
1538-5442,Current Problems in Pediatric and Adolescent Health Care,,Elsevier
1942-4795,WIREs Data Mining and Knowledge Discovery,,Wiley
2730-7174,Research on Child and Adolescent Psychopathology,,Springer
1448-6032,Australasian Plant Pathology,,Springer
1432-2285,Trees,,Springer
1468-2672,European Sociological Review,,Oxford University Press
0022-1031,Journal of Experimental Social Psychology,,Elsevier
2468-5194,Materials Today Chemistry,,Elsevier
1866-2196,Zeitschrift für Außen- und Sicherheitspolitik,,Springer
1099-1387,Journal of Peptide Science,,Wiley
2691-1361,Journal of Philanthropy and Marketing,,Wiley
2949-8198,ESMO Gastrointestinal Oncology,,Elsevier
1572-963X,Journal of Management and Governance,,Springer
0167-8655,Pattern Recognition Letters,,Elsevier
1467-2979,Fish and Fisheries,,Wiley
1939-5590,Limnology and Oceanography,,Wiley
1348-0421,Microbiology and Immunology,,Wiley
1432-5195,International Orthopaedics,,Springer
2452-0748,NanoImpact,,Elsevier
0733-5210,Journal of Cereal Science,,Elsevier
0029-8018,Ocean Engineering,,Elsevier
2752-5074,Oxford Open Economics,,Oxford University Press
0882-5963,Journal of Pediatric Nursing,,Elsevier
1432-0894,Climate Dynamics,,Springer
0960-8966,Neuromuscular Disorders,,Elsevier
1612-9067,Esophagus,,Springer
2435-7936,City and Built Environment,,Springer
1873-7854,Small-scale Forestry,,Springer
2949-8406,First Nations Health and Wellbeing - The Lowitja Journal,,Elsevier
1436-5057,Computing,,Springer
1097-0363,International Journal for Numerical Methods in Fluids,,Wiley
1476-4679,Nature Cell Biology,,Springer
1365-2842,Journal of Oral Rehabilitation,,Wiley
1432-1181,Heat and Mass Transfer,,Springer
1759-6831,Journal of Systematics and Evolution,,Wiley
1565-8511,Israel Journal of Mathematics,,Springer
1654-109X,Applied Vegetation Science,,Wiley
1993-0445,Applied Mathematics-A Journal of Chinese Universities,,Springer
1099-0852,Child Abuse Review,,Wiley
0161-813X,NeuroToxicology,,Elsevier
1637-4088,Sages-Femmes,,Elsevier
1179-2035,Sports Medicine,,Springer
1548-1492,Anthropology & Education Quarterly,,Wiley
1573-8825,Lithuanian Mathematical Journal,,Springer
0027-9684,Journal of the National Medical Association,,Elsevier
1860-7314,Biotechnology Journal,,Wiley
2772-6541,Osteoarthritis Imaging,,Elsevier
2157-1716,Kidney International Supplements,,Elsevier
2475-6725,Security and Privacy,,Wiley
2476-1508,Internet Technology Letters,,Wiley
1572-8862,Journal of Cluster Science,,Springer
2950-4333,Journal of Epidemiology and Population Health,,Elsevier
1097-4598,Muscle & Nerve,,Wiley
1600-0897,American Journal of Reproductive Immunology,,Wiley
1874-5504,Neuroethics,,Springer
2213-1779,JACC: Heart Failure,,Elsevier
1521-4036,Biometrical Journal,,Wiley
1532-2092,EP Europace,,Oxford University Press
1944-2858,Poverty & Public Policy,,Wiley
2198-6436,Current Forestry Reports,,Springer
1573-7012,"Journal of Industry, Competition and Trade",,Springer
1365-277X,Journal of Human Nutrition and Dietetics,,Wiley
1432-0932,European Spine Journal,,Springer
0169-5347,Trends in Ecology & Evolution,,Elsevier
0363-0188,Current Problems in Diagnostic Radiology,,Elsevier
1097-4539,X-Ray Spectrometry,,Wiley
1432-2072,Psychopharmacology,,Springer
0016-6995,Geobios,,Elsevier
0975-8402,Journal of Food Science and Technology,,Springer
1043-4666,Cytokine,,Elsevier
1544-6123,Finance Research Letters,,Elsevier
1548-3592,Current Sexual Health Reports,,Springer
1559-1816,Journal of Applied Social Psychology,,Wiley
1573-4978,Molecular Biology Reports,,Springer
1565-8538,Journal d'Analyse Mathématique,,Springer
2198-0934,Journal of Meteorological Research,,Springer
0091-7435,Preventive Medicine,,Elsevier
1420-9071,Cellular and Molecular Life Sciences,,Springer
1540-6210,Public Administration Review,,Wiley
1573-7829,Population Research and Policy Review,,Springer
2573-8615,Financial Planning Review,,Wiley
1463-5224,Veterinary Ophthalmology,,Wiley
2468-6018,IFAC Journal of Systems and Control,,Elsevier
0266-352X,Computers and Geotechnics,,Elsevier
1752-993X,Journal of Plant Ecology,,Oxford University Press
0893-9659,Applied Mathematics Letters,,Elsevier
0091-6749,Journal of Allergy and Clinical Immunology,,Elsevier
1040-6190,The Electricity Journal,,Elsevier
1839-4728,The Australian Journal of Language and Literacy,,Springer
2213-3291,Food Structure,,Elsevier
2472-6303,SLAS Technology,,Elsevier
1468-0416,"Financial Markets, Institutions & Instruments",,Wiley
1464-3545,Cambridge Journal of Economics,,Oxford University Press
2352-9385,Remote Sensing Applications: Society and Environment,,Elsevier
2365-6387,Nanotechnology for Environmental Engineering,,Springer
1359-6454,Acta Materialia,,Elsevier
1948-7169,Design Management Review,,Wiley
1099-1239,International Journal of Robust and Nonlinear Control,,Wiley
1099-128X,Journal of Chemometrics,,Wiley
1878-7886,Journal of Visceral Surgery,,Elsevier
1748-5827,Journal of Small Animal Practice,,Wiley
0925-2312,Neurocomputing,,Elsevier
0950-0618,Construction and Building Materials,,Elsevier
0365-6691,Archivos de la Sociedad Española de Oftalmología,,Elsevier
2730-5988,Circular Economy and Sustainability,,Springer
1572-9788,Molecular Breeding,,Springer
1613-7817,Wiener klinisches Magazin,,Springer
1179-1918,Clinical Drug Investigation,,Springer
2352-4677,"Sustainable Energy, Grids and Networks",,Elsevier
2190-6491,Journal of Environmental Studies and Sciences,,Springer
1095-8355,Cell Biology International,,Wiley
1939-9170,Ecology,,Wiley
0378-7753,Journal of Power Sources,,Elsevier
1437-7799,Clinical and Experimental Nephrology,,Springer
1471-2865,Physiotherapy Research International,,Wiley
1095-8312,Biological Journal of the Linnean Society,,Oxford University Press
1527-1897,Journal of Social History,,Oxford University Press
1743-8594,Foreign Policy Analysis,,Oxford University Press
2214-790X,The Extractive Industries and Society,,Elsevier
0973-7715,Indian Journal of Microbiology,,Springer
0927-0256,Computational Materials Science,,Elsevier
1094-9968,Journal of Interactive Marketing,,Elsevier
1440-1770,"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",,Wiley
1471-5546,Science and Engineering Ethics,,Springer
1536-0733,New Directions for Community Colleges,,Wiley
1572-8455,Feminist Legal Studies,,Springer
1976-5118,Pacific Focus,,Wiley
1525-3163,Journal of Animal Science,,Oxford University Press
1530-2415,Analyses of Social Issues and Public Policy,,Wiley
1099-1018,Fire and Materials,,Wiley
2731-3980,Anthropocene Science,,Springer
2095-0225,Frontiers of Medicine,,Springer
0278-2391,Journal of Oral and Maxillofacial Surgery,,Elsevier
0020-7225,International Journal of Engineering Science,,Elsevier
2196-4386,Computational Particle Mechanics,,Springer
0195-6671,Cretaceous Research,,Elsevier
1742-7843,Basic & Clinical Pharmacology & Toxicology,,Wiley
1468-2680,Social Science Japan Journal,,Oxford University Press
2341-1929,Revista Española de Anestesiología y Reanimación (English Edition),,Elsevier
1521-1886,GPS Solutions,,Springer
1600-0579,European Journal of Dental Education,,Wiley
1573-2959,Environmental Monitoring and Assessment,,Springer
1873-7951,Interacting with Computers,,Oxford University Press
1746-1049,The Developing Economies,,Wiley
1279-7960,Le Praticien en Anesthésie Réanimation,,Elsevier
1572-8447,Ethical Theory and Moral Practice,,Springer
1573-5192,Systematic Parasitology,,Springer
1741-6787,Worldviews on Evidence-Based Nursing,,Wiley
1432-1815,Mathematische Semesterberichte,,Springer
1945-239X,Journal of Chromatographic Science,,Oxford University Press
2167-4884,Current Emergency and Hospital Medicine Reports,,Springer
2520-842X,"Journal of Economics, Race, and Policy",,Springer
1572-1000,Photodiagnosis and Photodynamic Therapy,,Elsevier
2949-8910,Geoenergy Science and Engineering,,Elsevier
1467-8454,Australian Economic Papers,,Wiley
0002-8703,American Heart Journal,,Elsevier
0376-0421,Progress in Aerospace Sciences,,Elsevier
1366-5545,Transportation Research Part E: Logistics and Transportation Review,,Elsevier
0213-005X,Enfermedades Infecciosas y Microbiología Clínica,,Elsevier
1468-0440,The Geneva Papers on Risk and Insurance - Issues and Practice,,Springer
2095-7548,Journal of Traditional Chinese Medical Sciences,,Elsevier
1573-2754,Applied Mathematics and Mechanics,,Springer
1460-2431,Journal of Experimental Botany,,Oxford University Press
1467-8276,American Journal of Agricultural Economics,,Wiley
1468-0084,Oxford Bulletin of Economics and Statistics,,Wiley
0022-3093,Journal of Non-Crystalline Solids,,Elsevier
1943-3638,Cereal Chemistry,,Wiley
1869-1900,Science China Technological Sciences,,Springer
1098-2353,Clinical Anatomy,,Wiley
0012-8252,Earth-Science Reviews,,Elsevier
2095-4964,Journal of Integrative Medicine,,Elsevier
2196-3045,Current Tropical Medicine Reports,,Springer
2949-7280,Journal of Climate Finance,,Elsevier
0890-8389,The British Accounting Review,,Elsevier
1970-9366,Internal and Emergency Medicine,,Springer
2538-225X,Advances in Operator Theory,,Springer
1099-1069,Hematological Oncology,,Wiley
1096-6374,Growth Hormone & IGF Research,,Elsevier
0951-8339,Marine Structures,,Elsevier
1618-2650,Analytical and Bioanalytical Chemistry,,Springer
1530-6860,The FASEB Journal,,Wiley
1479-8417,Journal of Financial Econometrics,,Oxford University Press
1573-045X,The Journal of Real Estate Finance and Economics,,Springer
1866-1505,Operational Research,,Springer
1467-7717,Disasters,,Wiley
1751-553X,International Journal of Laboratory Hematology,,Wiley
2046-9136,Review of Corporate Finance Studies,,Oxford University Press
1467-7660,Development and Change,,Wiley
1573-1405,International Journal of Computer Vision,,Springer
1573-4862,Journal of Nondestructive Evaluation,,Springer
1434-453X,Rock Mechanics and Rock Engineering,,Springer
1875-1350,Biosemiotics,,Springer
1520-6629,Journal of Community Psychology,,Wiley
0020-7462,International Journal of Non-Linear Mechanics,,Elsevier
2064-8316,Acta Scientiarum Mathematicarum,,Springer
0026-265X,Microchemical Journal,,Elsevier
0887-8994,Pediatric Neurology,,Elsevier
0898-1221,Computers & Mathematics with Applications,,Elsevier
1432-1823,Mathematische Zeitschrift,,Springer
2773-0212,Psychiatry Research Case Reports,,Elsevier
1521-2254,The Journal of Gene Medicine,,Wiley
0885-3924,Journal of Pain and Symptom Management,,Elsevier
1740-0929,Animal Science Journal,,Wiley
1365-2206,Child & Family Social Work,,Wiley
0926-860X,Applied Catalysis A: General,,Elsevier
1361-8415,Medical Image Analysis,,Elsevier
2731-3972,Anästhesie Nachrichten,,Springer
1469-1795,Animal Conservation,,Wiley
1096-4959,Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,,Elsevier
0964-5691,Ocean & Coastal Management,,Elsevier
1279-8479,Médecine de Catastrophe - Urgences Collectives,,Elsevier
1573-5184,Reviews in Fish Biology and Fisheries,,Springer
1436-4646,Mathematical Programming,,Springer
1918-1485,Paediatrics & Child Health,,Oxford University Press
1879-0844,European Journal of Heart Failure,,Wiley
1573-7764,Journal of Archaeological Method and Theory,,Springer
0032-5791,Poultry Science,,Elsevier
1443-9506,"Heart, Lung and Circulation",,Elsevier
1474-9092,Photochemical & Photobiological Sciences,,Springer
1096-9918,Surface and Interface Analysis,,Wiley
1556-3707,Journal of Chiropractic Medicine,,Elsevier
2352-3026,The Lancet Haematology,,Elsevier
2520-1131,Nature Electronics,,Springer
1365-3091,Sedimentology,,Wiley
1699-258X,Reumatología Clínica,,Elsevier
2352-2143,Computational Condensed Matter,,Elsevier
0022-3115,Journal of Nuclear Materials,,Elsevier
2522-5839,Nature Machine Intelligence,,Springer
0022-3956,Journal of Psychiatric Research,,Elsevier
1091-8531,Journal of AAPOS,,Elsevier
1573-692X,Review of Finance,,Oxford University Press
1615-1488,Structural and Multidisciplinary Optimization,,Springer
2731-7137,Die Kardiologie,,Springer
1467-7687,Developmental Science,,Wiley
1467-923X,The Political Quarterly,,Wiley
1755-5345,Journal of Choice Modelling,,Elsevier
1740-388X,Comparative European Politics,,Springer
1477-4666,Social History of Medicine,,Oxford University Press
2167-4833,Current Physical Medicine and Rehabilitation Reports,,Springer
1365-2575,Information Systems Journal,,Wiley
1754-1018,Journal of Transatlantic Studies,,Springer
2214-4048,Journal of High Energy Astrophysics,,Elsevier
1873-930X,Sophia,,Springer
1889-1837,Hipertensión y Riesgo Vascular,,Elsevier
2190-5444,The European Physical Journal Plus,,Springer
1467-9671,Transactions in GIS,,Wiley
1467-9892,Journal of Time Series Analysis,,Wiley
1433-7347,"Knee Surgery, Sports Traumatology, Arthroscopy",,Wiley
0887-2171,"Seminars in Ultrasound, CT and MRI",,Elsevier
2662-8643,eLight,,Springer
1432-0630,Applied Physics A,,Springer
1614-3116,Acta Mechanica Sinica,,Springer
2950-550X,Digital Engineering,,Elsevier
1447-0756,Journal of Obstetrics and Gynaecology Research,,Wiley
1755-6724,Acta Geologica Sinica (English Edition),,Wiley
0305-4403,Journal of Archaeological Science,,Elsevier
1747-9991,Philosophy Compass,,Wiley
1750-8924,Chinese Journal of International Politics,,Oxford University Press
0149-7189,Evaluation and Program Planning,,Elsevier
1532-5946,Memory & Cognition,,Springer
2210-3988,Journal of Iron and Steel Research International,,Springer
1867-3236,The Review of Socionetwork Strategies,,Springer
2212-571X,Journal of Destination Marketing & Management,,Elsevier
2213-8463,Manufacturing Letters,,Elsevier
2288-0011,Blood Research,,Springer
2405-9854,Ecological Genetics and Genomics,,Elsevier
1130-2399,Enfermería Intensiva,,Elsevier
1538-2443,Journal of NeuroVirology,,Springer
1938-3746,Journal of Forestry,,Oxford University Press
1439-0388,Journal of Animal Breeding and Genetics,,Wiley
1097-4679,Journal of Clinical Psychology,,Wiley
0213-6163,The European Journal of Psychiatry,,Elsevier
2092-6456,Food Science and Biotechnology,,Springer
1615-6730,coloproctology,,Springer
1542-4774,Journal of the European Economic Association,,Oxford University Press
1572-9338,Annals of Operations Research,,Springer
0965-8564,Transportation Research Part A: Policy and Practice,,Elsevier
0040-5957,Therapies,,Elsevier
1875-8398,Arbitration International,,Oxford University Press
0887-7963,Transfusion Medicine Reviews,,Elsevier
1385-8947,Chemical Engineering Journal,,Elsevier
2212-828X,The Journal of the Economics of Ageing,,Elsevier
2509-498X,Journal of Healthcare Informatics Research,,Springer
1537-2995,Transfusion,,Wiley
0145-2126,Leukemia Research,,Elsevier
2522-5766,Chemistry Africa,,Springer
1877-3435,Current Opinion in Environmental Sustainability,,Elsevier
0043-1354,Water Research,,Elsevier
0025-5408,Materials Research Bulletin,,Elsevier
0012-3692,CHEST,,Elsevier
0208-5216,Biocybernetics and Biomedical Engineering,,Elsevier
1540-6288,The Financial Review,,Wiley
1432-0487,Electrical Engineering,,Springer
1435-8131,Economics of Governance,,Springer
1536-0695,New Directions for Student Services,,Wiley
1076-6332,Academic Radiology,,Elsevier
0040-6031,Thermochimica Acta,,Elsevier
1179-1896,Applied Health Economics and Health Policy,,Springer
1869-1862,Science China Mathematics,,Springer
1976-3786,Archives of Pharmacal Research,,Springer
1998-7781,Journal für Klinische Endokrinologie und Stoffwechsel,,Springer
2522-879X,Journal of Outdoor and Environmental Education,,Springer
2773-126X,Crop and Environment,,Elsevier
1574-9282,International Journal of Hindu Studies,,Springer
0196-0709,American Journal of Otolaryngology,,Elsevier
0002-9440,The American Journal of Pathology,,Elsevier
0976-5662,Journal of Clinical Orthopaedics and Trauma,,Elsevier
0955-5986,Flow Measurement and Instrumentation,,Elsevier
1098-2736,Journal of Research in Science Teaching,,Wiley
0325-7541,Revista Argentina de Microbiología,,Elsevier
1049-0078,Journal of Asian Economics,,Elsevier
1531-5320,Psychonomic Bulletin & Review,,Springer
1873-5924,Review of Financial Economics,,Wiley
1755-3245,Cardiovascular Research,,Oxford University Press
2211-5684,Diagnostic and Interventional Imaging,,Elsevier
1678-4383,Brazilian Journal of Chemical Engineering,,Springer
1098-3015,Value in Health,,Elsevier
2167-4868,Current Ophthalmology Reports,,Springer
2212-0122,Economics of Transportation,,Elsevier
1550-7416,The AAPS Journal,,Springer
1532-849X,Journal of Prosthodontics,,Wiley
1435-8107,Journal of Plant Growth Regulation,,Springer
1467-8748,Curtis's Botanical Magazine,,Wiley
1937-2817,The Journal of Wildlife Management,,Wiley
1432-1459,Journal of Neurology,,Springer
1740-8261,Veterinary Radiology & Ultrasound,,Wiley
1751-570X,Nonlinear Analysis: Hybrid Systems,,Elsevier
2949-8201,ESMO Real World Data and Digital Oncology,,Elsevier
2096-7209,Blockchain: Research and Applications,,Elsevier
0146-2806,Current Problems in Cardiology,,Elsevier
1094-6950,Journal of Clinical Densitometry,,Elsevier
1464-3677,International Journal for Quality in Health Care,,Oxford University Press
1467-629X,Accounting & Finance,,Wiley
2161-1874,Journal of Addictions & Offender Counseling,,Wiley
2363-5045,Sustainable Water Resources Management,,Springer
2662-2416,Adversity and Resilience Science,,Springer
1098-2299,Drug Development Research,,Wiley
2365-953X,Zeitschrift für Literaturwissenschaft und Linguistik,,Springer
2731-7196,Die Pathologie,,Springer
2194-0517,Progress in Biomaterials,,Springer
2950-3000,Thyroid Science,,Elsevier
1756-5391,Journal of Evidence-Based Medicine,,Wiley
0924-7963,Journal of Marine Systems,,Elsevier
1574-6976,FEMS Microbiology Reviews,,Oxford University Press
2233-4998,Carbon Letters,,Springer
1532-6535,Clinical Pharmacology & Therapeutics,,Wiley
2731-4278,npj Robotics,,Springer
0378-7796,Electric Power Systems Research,,Elsevier
1993-033X,Journal of Thermal Science,,Springer
0273-1177,Advances in Space Research,,Elsevier
1759-1090,Interdisciplinary Studies in Literature and Environment,,Oxford University Press
1552-4604,The Journal of Clinical Pharmacology,,Wiley
1435-1269,Zeitschrift für Gerontologie und Geriatrie,,Springer
1521-3730,ChemKon,,Wiley
1536-7150,The American Journal of Economics and Sociology,,Wiley
1543-1916,Metallurgical and Materials Transactions B,,Springer
1874-9356,Folia Microbiologica,,Springer
1464-410X,BJU International,,Wiley
1099-0992,European Journal of Social Psychology,,Wiley
0167-8809,"Agriculture, Ecosystems & Environment",,Elsevier
1618-1891,Annali di Matematica Pura ed Applicata (1923 -),,Springer
2210-4690,Journal of Remanufacturing,,Springer
1573-5109,Genetic Resources and Crop Evolution,,Springer
1471-4906,Trends in Immunology,,Elsevier
1530-8561,Clinical Chemistry,,Oxford University Press
1960-6214,International Journal of Material Forming,,Springer
1753-9137,"Communication, Culture and Critique",,Oxford University Press
2168-4804,Therapeutic Innovation & Regulatory Science,,Springer
1109-9666,Hellenic Journal of Cardiology,,Elsevier
2211-4645,Environmental Development,,Elsevier
"
2048-8734 ",European Heart Journal - Acute Cardiovascular Care,,Oxford University Press
1861-2784,Intelligent Service Robotics,,Springer
1074-7427,Neurobiology of Learning and Memory,,Elsevier
1866-7538,Arabian Journal of Geosciences,,Springer
1751-9918,Primary Care Diabetes,,Elsevier
1573-0735,Journal of Financial Services Research,,Springer
1876-4525,Food Security,,Springer
2352-3522,Microbial Risk Analysis,,Elsevier
1467-8438,Australian and New Zealand Journal of Family Therapy,,Wiley
1614-6840,Advanced Energy Materials,,Wiley
1573-9678,Atlantic Economic Journal,,Springer
1573-7187,Theory and Decision,,Springer
1617-1381,Journal for Nature Conservation,,Elsevier
1869-7135,Jahresbericht der Deutschen Mathematiker-Vereinigung,,Springer
1365-2869,Journal of Sleep Research,,Wiley
1934-1563,PM&R,,Wiley
1934-8576,Current Protocols in Neuroscience,,Wiley
1365-2117,Basin Research,,Wiley
2444-8834,European Research on Management and Business Economics,,Elsevier
2950-4562,Intestinal Failure,,Elsevier
1532-2998,Stress and Health,,Wiley
1477-4054,Briefings in Bionformatics,,Oxford University Press
1755-3091,China Journal of Accounting Research,,Elsevier
0021-9614,The Journal of Chemical Thermodynamics,,Elsevier
1572-9435,Transportation,,Springer
1572-9508,Experimental Astronomy,,Springer
1807-0302,Computational and Applied Mathematics,,Springer
1876-1070,Journal of the Taiwan Institute of Chemical Engineers,,Elsevier
2047-3095,International Journal of Nursing Knowledge,,Wiley
0009-2614,Chemical Physics Letters,,Elsevier
0975-0711,Indian Journal of Gastroenterology,,Springer
1741-1416,Acta Politica,,Springer
1434-6079,The European Physical Journal D,,Springer
1943-0787,Asian Politics & Policy,,Wiley
1572-9028,Topics in Catalysis,,Springer
1749-4486,Clinical Otolaryngology,,Wiley
0272-4944,Journal of Environmental Psychology,,Elsevier
2730-7204,Biophysical Economics and Sustainability,,Springer
2194-7236,Urolithiasis,,Springer
2730-7220,Forum Kinder- und Jugendsport,,Springer
1468-0068,Noûs,,Wiley
1543-186X,Journal of Electronic Materials,,Springer
0096-3003,Applied Mathematics and Computation,,Elsevier
1559-1182,Molecular Neurobiology,,Springer
1433-0458,HNO,,Springer
1611-8227,Journal of Material Cycles and Waste Management,,Springer
1955-2505,International Journal on Interactive Design and Manufacturing (IJIDeM),,Springer
0022-0531,Journal of Economic Theory,,Elsevier
0301-5629,Ultrasound in Medicine & Biology,,Elsevier
1559-0488,The Journal of Burn Care & Research,,Oxford University Press
1573-0875,Origins of Life and Evolution of Biospheres,,Springer
1747-938X,Educational Research Review,,Elsevier
1573-3254,AIDS and Behavior,,Springer
1573-0778,Cytotechnology,,Springer
2468-4511,Current Opinion in Biomedical Engineering,,Elsevier
0211-5638,Fisioterapia,,Elsevier
1559-7075,TechTrends,,Springer
2041-6156,Asia-Pacific Journal of Financial Studies,,Wiley
1460-2407,Molecular human reproduction,,Oxford University Press
1468-2265,The Heythrop Journal,,Wiley
1564-9121,Revue internationale du Travail,,Wiley
2731-8087,Smart Grids and Sustainable Energy,,Springer
2405-8033,Trends in Cancer,,Elsevier
2095-8099,Engineering,,Elsevier
0085-2538,Kidney International,,Elsevier
0181-5512,Journal Français d'Ophtalmologie,,Elsevier
1464-3758,Journal of International Economic Law,,Oxford University Press
1615-6714,Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,,Springer
0197-4580,Neurobiology of Aging,,Elsevier
2194-5411,Environment Systems and Decisions,,Springer
0380-1330,Journal of Great Lakes Research,,Elsevier
0960-0760,The Journal of Steroid Biochemistry and Molecular Biology,,Elsevier
1993-0607,Journal of Forestry Research,,Springer
2005-2863,Journal of the Korean Statistical Society,,Springer
0040-4039,Tetrahedron Letters,,Elsevier
1435-0653,Crop Science,,Wiley
1573-3025,Aerobiologia,,Springer
1573-0786,Dialectical Anthropology,,Springer
0891-5245,Journal of Pediatric Health Care,,Elsevier
1365-2567,Immunology,,Wiley
0275-5319,Research in International Business and Finance,,Elsevier
2524-5619,Mechanics of Soft Materials,,Springer
0925-4005,Sensors and Actuators B: Chemical,,Elsevier
1934-2845,Evolutionary Biology,,Springer
1521-3773,Angewandte Chemie International Edition,,Wiley
1468-5965,JCMS: Journal of Common Market Studies,,Wiley
0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,,Elsevier
2364-4184,Innovative Infrastructure Solutions,,Springer
1089-9472,Journal of PeriAnesthesia Nursing,,Elsevier
2364-1045,Journal of Quantitative Economics,,Springer
1573-269X,Nonlinear Dynamics,,Springer
1347-6947,Bioscience Biotechnology and Biochemistry,,Oxford University Press
1522-2640,Chemie Ingenieur Technik,,Wiley
1996-8744,Building Simulation,,Springer
1090-3798,European Journal of Paediatric Neurology,,Elsevier
2156-8650,Medical Science Educator,,Springer
2949-8775,Measurement and Evaluations in Cancer Care,,Elsevier
2950-2535,AJO International,,Elsevier
1573-7403,Pituitary,,Springer
1895-7455,Acta Geophysica,,Springer
1365-2958,Molecular Microbiology,,Wiley
1179-1942,Drug Safety,,Springer
0025-5564,Mathematical Biosciences,,Elsevier
1365-2168,British Journal of Surgery,,Oxford University Press
1573-6644,Motivation and Emotion,,Springer
1534-875X,New Directions for Evaluation,,Wiley
1522-2594,Magnetic Resonance in Medicine,,Wiley
1433-8629,Medizinrecht,,Springer
1936-8798,JACC: Cardiovascular Interventions,,Elsevier
1467-839X,Asian Journal of Social Psychology,,Wiley
1687-0247,International Mathematics Research Notices,,Oxford University Press
1863-2378,Zoonoses and Public Health,,Wiley
1435-4373,European Journal of Clinical Microbiology & Infectious Diseases,,Springer
2211-467X,Energy Strategy Reviews,,Elsevier
2731-4588,Global Surgical Education - Journal of the Association for Surgical Education,,Springer
1573-8744,Journal of Pharmacokinetics and Pharmacodynamics,,Springer
2731-7218,Die Ophthalmologie,,Springer
0960-8524,Bioresource Technology,,Elsevier
1572-8757,Adsorption,,Springer
0261-5606,Journal of International Money and Finance,,Elsevier
1099-1697,Strategic Change,,Wiley
2196-3010,Current Sustainable/Renewable Energy Reports,,Springer
1432-1793,Marine Biology,,Springer
1077-291X,Journal of Public Transportation,,Elsevier
1475-6811,Personal Relationships,,Wiley
2296-9039,Journal of Elliptic and Parabolic Equations,,Springer
1521-1878,BioEssays,,Wiley
1045-1056,Biologicals,,Elsevier
1049-9644,Biological Control,,Elsevier
2058-6124,Spinal Cord Series and Cases,,Springer
2950-3701,Journal of Sustainable Finance and Accounting,,Elsevier
1532-1827,British Journal of Cancer,,Springer
2731-944X,Intensive Care Medicine – Paediatric and Neonatal,,Springer
1936-4768,Journal of Labor Research,,Springer
1467-8381,Asian Economic Journal,,Wiley
0168-1923,Agricultural and Forest Meteorology,,Elsevier
1754-0208,Journal For Eighteenth-Century Studies,,Wiley
2195-1071,Advanced Optical Materials,,Wiley
1522-2632,International Review of Hydrobiology,,Wiley
1867-1462,Interdisciplinary Sciences: Computational Life Sciences,,Springer
1573-1758,Innovative Higher Education,,Springer
0094-1190,Journal of Urban Economics,,Elsevier
1479-1846,Journal of Financial Services Marketing,,Springer
1573-7500,Archival Science,,Springer
0363-8111,Public Relations Review,,Elsevier
2366-6161,Homo Oeconomicus,,Springer
2352-507X,Nano-Structures & Nano-Objects,,Elsevier
2474-8706,Structural Heart,,Elsevier
0737-0806,Journal of Equine Veterinary Science,,Elsevier
0022-5193,Journal of Theoretical Biology,,Elsevier
1432-0428,Diabetologia,,Springer
1435-604X,Lasers in Medical Science,,Springer
1432-0983,Current Genetics,,Springer
1708-8240,Journal of Esthetic and Restorative Dentistry,,Wiley
1872-0226,Contemporary Islam,,Springer
1759-2887,Research Synthesis Methods,,Wiley
1983-2052,Tropical Plant Pathology,,Springer
0365-0596,Anais Brasileiros de Dermatologia,,Elsevier
1432-1785,manuscripta mathematica,,Springer
0167-9473,Computational Statistics & Data Analysis,,Elsevier
2093-2480,International Journal of Aeronautical and Space Sciences,,Springer
1097-2765,Molecular Cell,,Elsevier
0167-6105,Journal of Wind Engineering & Industrial Aerodynamics,,Elsevier
1469-7998,Journal of Zoology,,Wiley
1948-4682,World Medical & Health Policy,,Wiley
0167-7012,Journal of Microbiological Methods,,Elsevier
2731-4235,Advances in Continuous and Discrete Models,,Springer
1468-2931,French Studies,,Oxford University Press
1436-3259,Stochastic Environmental Research and Risk Assessment,,Springer
1559-744X,The Review of International Organizations,,Springer
0922-1425,Japan and the World Economy,,Elsevier
1099-1751,The International Journal of Health Planning and Management,,Wiley
1468-3148,Journal of Applied Research in Intellectual Disabilities,,Wiley
1044-5323,Seminars in Immunology,,Elsevier
1090-9516,Journal of World Business,,Elsevier
1476-6256,American Journal of Epidemiology,,Oxford University Press
1744-7429,Biotropica,,Wiley
1746-9198,British Politics,,Springer
1869-5469,Social Network Analysis and Mining,,Springer
1988-2807,Revista Matemática Complutense,,Springer
2050-0696,Journal of Antitrust Enforcement,,Oxford University Press
1573-7357,Journal of Low Temperature Physics,,Springer
1755-635X,Subjectivity,,Springer
2212-4209,International Journal of Disaster Risk Reduction,,Elsevier
2365-3167,Journal of Building Pathology and Rehabilitation,,Springer
1573-3289,Administration and Policy in Mental Health and Mental Health Services Research,,Springer
0306-9877,Medical Hypotheses,,Elsevier
1521-4087,"Propellants, Explosives, Pyrotechnics",,Wiley
2045-0052,Yearbook of International Environmental Law,,Oxford University Press
2520-8209,Remote Sensing in Earth Systems Sciences,,Springer
0006-8993,Brain Research,,Elsevier
